theme,role,hex
soft-cloud,brand,#f2a0b0
soft-cloud,brandDeep,#e8879a
soft-cloud,brandDarker,#d46b82
soft-cloud,ink,#5c3d4a
soft-cloud,inkSoft,#8a6574
soft-cloud,paper,#fff6f2
soft-cloud,cream,#fff9f5
soft-cloud,peach,#ffd2c4
soft-cloud,blush,#ffc2cd
soft-cloud,coral,#f0a090
soft-cloud,lavender,#cbb6dc
soft-cloud,umbrella,#3f7fd4
soft-cloud,umbrellaSoft,#6ea0e6
soft-cloud,gold,#e8c27a
soft-cloud,mint,#bfe8d4
soft-cloud,bokeh,#ffe8f0
soft-cloud,sky,#f7e6ef
soft-cloud,skyDeep,#e8d0e0
soft-cloud,cloud,#ffffff
soft-cloud,surface,#fff0eb
soft-cloud,muted,#e8d5d8
soft-cloud,white,#ffffff
anniversary-5th,brand,#e63644
anniversary-5th,brandDeep,#c92c38
anniversary-5th,brandDarker,#201e1e
anniversary-5th,ink,#201e1e
anniversary-5th,inkSoft,#665a5a
anniversary-5th,paper,#fbeecc
anniversary-5th,gold,#ecffc5
anniversary-5th,goldSoft,#e8f0d7
anniversary-5th,accent,#e63644
anniversary-5th,muted,#cccccc
anniversary-5th,surface,#ffffff
anniversary-5th,white,#ffffff
masterpiece,brand,#d73e54
masterpiece,brandDeep,#b83245
masterpiece,brandDarker,#3c3034
masterpiece,ink,#3c3034
masterpiece,inkSoft,#2c292a
masterpiece,paper,#f2f3e1
masterpiece,gold,#f6f2a7
masterpiece,goldSoft,#f6f2a7
masterpiece,accent,#d73e54
masterpiece,muted,#cac7c8
masterpiece,surface,#f8f8f8
masterpiece,white,#ffffff
uindows,brand,#ff7b87
uindows,brandDeep,#ff7c87
uindows,brandSoft,#ff9ea6
uindows,ink,#8a8077
uindows,inkSoft,#b6a3a8
uindows,paper,#ffffff
uindows,cream,#fff0ed
uindows,creamDeep,#ffefe6
uindows,panel,#fdf0ea
uindows,taupe,#8a7f78
uindows,blue,#7b97f6
uindows,blueSoft,#f4f8f3
uindows,yellow,#ffd68b
uindows,yellowSoft,#fff1eb
uindows,hover,#fff1f0
uindows,login,#ff7b87
uindows,shadow,rgba(138, 128, 119, 0.45)
uindows,white,#ffffff
uindows,black,#000000
uindows,surface,#fff0ed
uindows,sky,#ffefe6
uindows,cloud,#ffffff
uindows,blush,#ff7b87
uindows,peach,#ffefe6
uindows,lavender,#7b97f6
uindows,umbrella,#7b97f6
uindows,gold,#ffd68b
uindows,muted,#b6a3a8
uitopia,brand,#ec4b78
uitopia,brandDeep,#c93a62
uitopia,brandDarker,#a83254
uitopia,ink,#282828
uitopia,inkSoft,#646464
uitopia,paper,#ffffff
uitopia,gold,#645eff
uitopia,goldSoft,#f17a9c
uitopia,accent,#645eff
uitopia,muted,#b4b4b4
uitopia,surface,#b4b4b4
uitopia,white,#ffffff
wishing-umbrella,brand,#aa1414
wishing-umbrella,brandDeep,#8e0000
wishing-umbrella,brandDarker,#7c0017
wishing-umbrella,ink,#000000
wishing-umbrella,inkSoft,#2d0000
wishing-umbrella,paper,#fff8ec
wishing-umbrella,gold,#ffda00
wishing-umbrella,goldSoft,#ffed8c
wishing-umbrella,accent,#2c3c9f
wishing-umbrella,muted,#b4b4b4
wishing-umbrella,surface,#310101
wishing-umbrella,white,#ffffff
